,0,1,2,target
1,204,26,208,66.89839572192514
2,203,28,207,66.89839572192514
6,208,2,209,65.88235294117646
7,205,18,205,66.36363636363636
13,215,22,211,67.43315508021391
14,212,6,208,66.2566844919786
15,211,11,207,66.41711229946524
17,218,24,214,67.86096256684492
18,216,7,214,66.84491978609626
19,218,6,215,66.95187165775401
20,222,14,220,67.86096256684492
21,226,10,223,68.02139037433155
22,225,0,221,67.32620320855615
23,223,5,219,67.37967914438502
24,225,14,221,68.07486631016043
25,227,10,223,68.07486631016043
26,227,15,223,68.34224598930481
27,221,23,217,68.1283422459893
28,217,11,213,67.05882352941177
29,218,20,213,67.59358288770053
30,220,27,215,68.18181818181819
31,220,0,215,66.7379679144385
32,219,26,216,68.1283422459893
36,212,3,210,66.20320855614973
37,206,12,205,66.09625668449198
38,205,12,206,66.09625668449198
39,206,6,206,65.8288770053476
40,211,28,212,67.59358288770053
45,213,3,216,66.57754010695187
46,214,16,217,67.37967914438502
47,215,14,218,67.37967914438502
48,210,20,216,67.32620320855615
49,209,17,213,66.95187165775401
50,208,22,212,67.11229946524064
51,208,24,210,67.11229946524064
52,208,20,210,66.89839572192514
53,209,3,211,66.09625668449198
54,211,4,212,66.31016042780749
55,212,23,213,67.43315508021391
58,214,6,218,66.89839572192514
59,210,10,216,66.79144385026738
60,208,17,216,67.05882352941177
61,209,14,219,67.11229946524064
62,212,28,223,68.23529411764706
63,216,17,225,67.96791443850267
65,219,7,222,67.43315508021391
66,215,5,218,66.89839572192514
67,213,10,215,66.89839572192514
68,213,23,214,67.54010695187166
69,216,14,215,67.27272727272728
70,218,24,219,68.1283422459893
71,219,28,220,68.44919786096257
72,226,29,229,69.35828877005348
73,221,3,226,67.54010695187166
76,214,8,224,67.32620320855615
77,219,27,229,68.87700534759358
80,203,18,205,66.2566844919786
81,205,17,206,66.36363636363636
82,204,2,205,65.45454545454545
83,206,13,207,66.2566844919786
84,208,26,209,67.16577540106952
85,209,14,209,66.57754010695187
86,207,22,207,66.79144385026738
87,204,25,204,66.63101604278074
93,213,25,210,67.43315508021391
94,213,13,209,66.7379679144385
95,211,28,208,67.37967914438502
98,211,28,208,67.37967914438502
99,213,8,211,66.57754010695187
100,219,28,217,68.28877005347593
103,224,0,220,67.2192513368984
104,226,18,223,68.44919786096257
107,219,3,215,66.84491978609626
108,212,25,207,67.2192513368984
109,212,3,205,65.93582887700535
110,216,17,210,67.16577540106952
116,208,1,207,65.72192513368984
117,200,1,199,64.8663101604278
118,200,1,200,64.91978609625669
119,203,25,202,66.47058823529412
120,204,7,203,65.61497326203208
125,210,22,213,67.27272727272728
126,210,12,213,66.7379679144385
127,211,21,214,67.32620320855615
128,204,6,209,65.88235294117646
129,204,24,207,66.7379679144385
130,206,7,209,66.0427807486631
131,208,3,210,65.98930481283422
132,209,24,211,67.2192513368984
133,210,24,212,67.32620320855615
134,211,9,212,66.57754010695187
135,211,2,212,66.20320855614973
138,215,3,218,66.79144385026738
139,212,27,217,67.86096256684492
140,213,27,218,67.96791443850267
141,214,18,221,67.70053475935829
142,217,2,225,67.2192513368984
143,220,13,226,68.02139037433155
144,222,1,226,67.48663101604278
145,222,1,223,67.32620320855615
146,219,8,220,67.37967914438502
147,217,7,218,67.11229946524064
148,218,7,217,67.11229946524064
149,218,21,217,67.86096256684492
150,218,25,219,68.18181818181819
151,219,9,220,67.43315508021391
152,224,9,229,68.18181818181819
153,220,11,226,67.9144385026738
156,214,20,225,68.02139037433155
160,204,1,204,65.3475935828877
161,206,10,206,66.0427807486631
162,206,23,206,66.7379679144385
163,207,6,207,65.93582887700535
164,208,12,208,66.36363636363636
165,209,5,208,66.0427807486631
166,208,2,207,65.77540106951872
167,207,29,206,67.11229946524064
168,209,2,206,65.77540106951872
169,210,20,207,66.84491978609626
170,210,0,207,65.77540106951872
171,210,23,207,67.00534759358288
172,211,6,208,66.20320855614973
173,210,12,207,66.41711229946524
174,212,22,207,67.05882352941177
175,210,17,207,66.68449197860963
176,207,1,205,65.56149732620321
177,202,13,202,65.77540106951872
178,202,25,201,66.36363636363636
179,204,29,203,66.79144385026738
180,212,14,211,66.84491978609626
187,214,0,210,66.14973262032086
188,205,9,203,65.77540106951872
189,204,20,200,66.14973262032086
190,212,18,206,66.79144385026738
196,206,26,205,66.84491978609626
197,200,2,198,64.8663101604278
198,200,8,199,65.24064171122994
199,201,10,201,65.50802139037432
200,201,9,201,65.45454545454545
201,205,13,205,66.09625668449198
205,208,6,210,66.14973262032086
206,208,1,212,65.98930481283422
207,208,29,212,67.48663101604278
208,200,28,207,66.7379679144385
209,201,29,206,66.79144385026738
210,203,16,208,66.31016042780749
211,207,8,208,66.09625668449198
212,210,8,210,66.36363636363636
213,210,12,210,66.57754010695187
214,211,7,210,66.36363636363636
215,213,15,212,67.00534759358288
217,219,0,217,66.79144385026738
218,217,19,218,67.75401069518716
219,218,21,220,68.02139037433155
220,220,8,223,67.59358288770053
221,221,28,226,68.87700534759358
222,225,0,229,67.75401069518716
223,225,26,229,69.14438502673796
224,226,15,227,68.50267379679144
225,225,5,224,67.75401069518716
226,225,24,224,68.77005347593582
227,224,23,223,68.6096256684492
228,224,14,222,68.07486631016043
229,224,12,222,67.96791443850267
230,222,29,223,68.82352941176471
231,219,21,222,68.18181818181819
233,219,0,226,67.27272727272728
236,210,22,224,67.86096256684492
241,210,0,209,65.88235294117646
242,210,3,209,66.0427807486631
243,210,17,209,66.79144385026738
244,210,23,209,67.11229946524064
245,210,0,209,65.88235294117646
246,210,24,209,67.16577540106952
247,210,5,209,66.14973262032086
248,207,29,204,67.00534759358288
249,207,7,204,65.8288770053476
250,207,17,204,66.36363636363636
251,208,17,205,66.47058823529412
252,208,28,205,67.05882352941177
253,209,7,206,66.0427807486631
254,209,28,206,67.16577540106952
255,207,2,205,65.61497326203208
256,198,3,199,64.8663101604278
257,194,8,196,64.75935828877006
258,192,12,194,64.75935828877006
259,195,9,198,64.97326203208556
260,205,21,206,66.57754010695187
266,213,9,212,66.68449197860963
267,207,8,206,65.98930481283422
268,201,14,200,65.66844919786097
269,200,15,197,65.50802139037432
270,207,26,203,66.79144385026738
275,213,27,212,67.6470588235294
276,206,29,205,67.00534759358288
277,202,21,200,66.09625668449198
278,201,14,201,65.72192513368984
279,202,17,201,65.93582887700535
280,202,20,201,66.09625668449198
281,202,1,201,65.08021390374331
282,202,18,203,66.09625668449198
283,203,1,204,65.29411764705883
284,203,19,204,66.2566844919786
285,206,4,207,65.77540106951872
286,207,14,209,66.47058823529412
287,207,14,210,66.524064171123
288,202,24,207,66.63101604278074
289,202,8,208,65.8288770053476
290,204,14,207,66.20320855614973
291,205,26,208,66.95187165775401
292,208,13,209,66.47058823529412
293,209,27,209,67.27272727272728
294,210,2,209,65.98930481283422
295,212,25,209,67.32620320855615
296,219,7,215,67.05882352941177
297,219,26,216,68.1283422459893
298,219,12,218,67.48663101604278
299,221,9,222,67.6470588235294
300,226,27,227,69.14438502673796
301,228,12,230,68.6096256684492
302,228,22,233,69.3048128342246
303,227,7,230,68.28877005347593
304,225,16,225,68.39572192513369
305,226,28,224,69.03743315508021
306,228,19,226,68.77005347593582
309,228,23,226,68.98395721925134
310,225,17,226,68.50267379679144
311,222,20,225,68.44919786096257
313,216,0,225,67.05882352941177
316,206,2,223,66.524064171123
320,208,24,207,66.95187165775401
321,212,11,211,66.68449197860963
322,213,0,212,66.20320855614973
323,212,8,211,66.524064171123
324,211,20,208,66.95187165775401
325,211,29,208,67.43315508021391
326,210,14,209,66.63101604278074
327,211,26,210,67.37967914438502
328,209,19,206,66.68449197860963
329,208,22,205,66.7379679144385
330,207,25,205,66.84491978609626
331,206,29,204,66.95187165775401
332,206,29,204,66.95187165775401
333,206,6,204,65.72192513368984
334,206,9,204,65.88235294117646
335,203,7,203,65.56149732620321
336,193,7,196,64.6524064171123
337,187,10,193,64.33155080213903
338,186,19,192,64.70588235294117
339,189,21,196,65.18716577540107
340,198,10,203,65.45454545454545
344,209,18,212,66.95187165775401
345,206,22,209,66.84491978609626
